Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
960000,0.0019728285,0.15537927,None,-0.6666666169961294,-0.6666666169961294,0.038460374,0.016393192,9.0498834e-05,0.1,9.144894e-05,1.0
970000,0.0022857876,0.24925885,None,None,None,0.06193426,0.018288035,9.03574e-05,0.1,9.132165e-05,1.0
980000,0.0074475403,0.26398137,999.0,-0.7499999925494194,-0.7499999925494194,0.0392074,0.013426837,9.021884e-05,0.1,9.1196955e-05,1.0
990000,0.003484622,-0.6006324,None,None,None,None,None,None,None,None,1.0
1000000,0.0031732302,-0.50349325,None,None,None,0.10290441,0.018456532,9.0077396e-05,0.1,9.106965e-05,1.0
1010000,0.007484981,-0.27114087,999.0,-1.0000000596046448,-1.0000000596046448,0.08616084,0.016150646,8.993884e-05,0.1,9.0944945e-05,1.0
1020000,0.0011172297,-0.71313196,None,None,None,None,None,None,None,None,1.0
1030000,0.0010394204,-0.68335676,999.0,-1.0000000596046448,-1.0000000596046448,0.37876835,0.019104766,8.9797395e-05,0.1,9.081765e-05,1.0
1040000,0.011319693,-0.7489451,999.0,-1.0000000596046448,-1.0000000596046448,0.1489532,0.01597337,8.9658846e-05,0.1,9.069294e-05,1.0
1050000,0.002177253,-0.89834625,None,None,None,0.110126145,0.012983503,8.951741e-05,0.1,9.056565e-05,1.0
1060000,0.0069550844,-0.83421785,999.0,-1.0000000596046448,-1.0000000596046448,None,None,None,None,None,1.0
