Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
20000,1.3862627,-0.045273058,998.05,0.500950300693512,0.500950300693512,1.0
30000,1.3781247,-0.047793675,None,None,None,1.0
40000,1.3684728,-0.0500174,999.0,0.25000018924474715,0.25000018924474715,1.0
50000,1.368573,-0.04408675,None,None,None,1.0
60000,1.3776755,-0.04132372,999.0,0.2500002279877663,0.2500002279877663,1.0
70000,1.3829147,-0.034462895,None,None,None,1.0
80000,1.3787843,-0.029281374,999.0,2.25000077188015,2.25000077188015,1.0
90000,1.3786446,-0.019238813,None,None,None,1.0
100000,1.3772295,-0.041093696,999.0,2.7500009715557097,2.7500009715557097,1.0
110000,1.3779873,-0.021996109,None,None,None,1.0
120000,1.3760967,-0.001559122,999.0,3.2500008597970007,3.2500008597970007,1.0
130000,1.366054,0.0414177,None,None,None,1.0
140000,1.3667573,0.07014632,999.0,5.250001214444637,5.250001214444637,1.0
150000,1.3636589,0.065080404,None,None,None,1.0
160000,1.3485659,0.06904883,999.0,5.000001302361488,5.000001302361488,1.0
170000,1.3512325,0.105354555,None,None,None,1.0
180000,1.3322306,0.0738778,999.0,5.750001491606236,5.750001491606236,1.0
190000,1.3105621,0.20037763,None,None,None,1.0
200000,1.3151001,0.10512845,999.0,9.00000229626894,9.00000229626894,1.0
210000,1.3378735,0.14955787,None,None,None,1.0
220000,1.3242315,0.10095279,999.0,8.000001762807369,8.000001762807369,1.0
230000,1.2973338,0.24475545,None,None,None,1.0
240000,1.2851254,0.12308908,999.0,8.000001221895218,8.000001221895218,1.0
250000,1.3001547,0.27596253,None,None,None,1.0
260000,1.2698313,0.1460254,999.0,8.750001625716687,8.750001625716687,1.0
270000,1.2538599,0.3084312,None,None,None,1.0
280000,1.2323285,0.2740129,999.0,10.500002311170102,10.500002311170102,1.0
290000,1.2860305,0.39054346,None,None,None,1.0
300000,1.2540567,0.1773332,999.0,11.000003042817116,11.000003042817116,1.0
310000,1.2542094,0.50107795,None,None,None,1.0
320000,1.2319237,0.23295385,999.0,13.500002963840961,13.500002963840961,1.0
330000,1.2450604,0.49258026,None,None,None,1.0
340000,1.23019,0.28270695,999.0,13.25000289529562,13.25000289529562,1.0
350000,1.2663612,0.42427355,None,None,None,1.0
360000,1.207525,0.2504287,999.0,9.500002248585224,9.500002248585224,1.0
370000,1.218375,0.5437432,None,None,None,1.0
380000,1.1416713,0.19659665,999.0,11.00000245422125,11.00000245422125,1.0
390000,1.2424519,0.65921587,None,None,None,1.0
400000,1.1722798,0.16787197,999.0,15.500002607703209,15.500002607703209,1.0
410000,1.2359365,0.54778314,None,None,None,1.0
420000,1.1911694,0.18088433,999.0,14.750003024935722,14.750003024935722,1.0
430000,1.2072932,0.6131485,None,None,None,1.0
440000,1.1289707,0.32607815,999.0,15.750003316998482,15.750003316998482,1.0
450000,1.1954156,0.6729425,None,None,None,1.0
460000,1.1394126,0.21543092,999.0,14.250003057718278,14.250003057718278,1.0
470000,1.2551414,0.7338194,None,None,None,1.0
480000,1.1712217,0.15238492,999.0,14.00000265687704,14.00000265687704,1.0
490000,1.1306998,0.7053848,None,None,None,1.0
500000,1.1448011,0.26673308,999.0,11.750002200901509,11.750002200901509,1.0
510000,1.1340948,0.70213276,None,None,None,1.0
520000,1.099209,0.36284965,999.0,12.00000244230032,12.00000244230032,1.0
530000,1.162344,0.8783528,None,None,None,1.0
540000,1.0904965,0.38754714,999.0,13.250002388656139,13.250002388656139,1.0
