Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
20000,1.3862756,0.24382223,998.05,-0.4990500122308731,-0.4990500122308731,1.0
30000,1.3786767,0.22756818,None,None,None,1.0
40000,1.3796513,0.21086241,999.0,1.1175870895385742e-07,1.1175870895385742e-07,1.0
50000,1.3796955,0.20909913,None,None,None,1.0
60000,1.3704236,0.17248292,999.0,-0.2500000596046448,-0.2500000596046448,1.0
70000,1.3714588,0.17721698,None,None,None,1.0
80000,1.3639549,0.16200458,999.0,0.5000002160668373,0.5000002160668373,1.0
90000,1.3537884,0.14884269,None,None,None,1.0
100000,1.3547697,0.14996605,999.0,0.5000001713633537,0.5000001713633537,1.0
110000,1.366458,0.14072996,None,None,None,1.0
120000,1.3664043,0.13945165,999.0,0.7500001713633537,0.7500001713633537,1.0
130000,1.3475382,0.13720757,None,None,None,1.0
140000,1.3448372,0.123051375,999.0,0.25000013411045074,0.25000013411045074,1.0
150000,1.3451285,0.12568027,None,None,None,1.0
160000,1.3489034,0.1349452,999.0,2.250000350177288,2.250000350177288,1.0
170000,1.3457352,0.13605924,None,None,None,1.0
180000,1.3445953,0.15057585,999.0,2.5000005811452866,2.5000005811452866,1.0
190000,1.3393478,0.17544019,None,None,None,1.0
200000,1.3426774,0.17020968,999.0,3.7500007078051567,3.7500007078051567,1.0
210000,1.3489795,0.15770426,None,None,None,1.0
220000,1.3408835,0.15822011,999.0,4.50000087916851,4.50000087916851,1.0
230000,1.3300612,0.18159927,None,None,None,1.0
240000,1.3338382,0.19140925,999.0,6.500001356005669,6.500001356005669,1.0
250000,1.3405124,0.2123822,None,None,None,1.0
260000,1.3069458,0.26663408,999.0,7.000001356005669,7.000001356005669,1.0
270000,1.3118081,0.31162226,None,None,None,1.0
280000,1.2951188,0.2863773,999.0,9.000001691281796,9.000001691281796,1.0
290000,1.2867973,0.34002173,None,None,None,1.0
300000,1.2715477,0.27399275,999.0,8.500001184642315,8.500001184642315,1.0
310000,1.2723516,0.46327516,None,None,None,1.0
320000,1.281712,0.4041249,999.0,13.500002138316631,13.500002138316631,1.0
330000,1.2887006,0.48365036,None,None,None,1.0
340000,1.2831619,0.4928601,999.0,7.2500012665987015,7.2500012665987015,1.0
350000,1.2793437,0.59517235,None,None,None,1.0
360000,1.2618682,0.5638183,999.0,11.2500014975667,11.2500014975667,1.0
370000,1.2748553,0.6742968,None,None,None,1.0
380000,1.2678763,0.6043366,999.0,13.000001788139343,13.000001788139343,1.0
390000,1.2984321,0.68434745,None,None,None,1.0
400000,1.2715522,0.5823783,999.0,11.500001817941666,11.500001817941666,1.0
410000,1.2683105,0.74879795,None,None,None,1.0
420000,1.2543985,0.6289917,999.0,11.250001564621925,11.250001564621925,1.0
430000,1.2666513,0.7918204,None,None,None,1.0
440000,1.2513525,0.7018913,999.0,11.250001348555088,11.250001348555088,1.0
450000,1.2598977,0.8648207,None,None,None,1.0
460000,1.2627705,0.7648329,999.0,12.0000014975667,12.0000014975667,1.0
470000,1.2843919,0.9043273,None,None,None,1.0
480000,1.2571697,0.7587444,999.0,11.250001184642315,11.250001184642315,1.0
490000,1.2280817,0.8952243,None,None,None,1.0
500000,1.2147127,0.7335278,999.0,12.000001780688763,12.000001780688763,1.0
