Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,8.831755,2.9314325,998.625,0.3753751367330551,0.3753751367330551,0.90971875,0.05088735,0.00029969873,0.1998996,1.0000001e-05,1.0
20000,8.911736,4.2597446,999.0,0.33333350469668704,0.33333350469668704,0.7370375,0.033673856,0.00029909782,0.19969927,1.0000001e-05,1.0
30000,9.066719,1.3058492,999.0,0.25000011920928955,0.25000011920928955,0.117500715,0.014428618,0.00029849872,0.19949959,1.0000001e-05,1.0
40000,8.806884,1.8197708,999.0,0.25000009189049405,0.25000009189049405,0.31973156,0.025921531,0.00029789782,0.19929928,1.0000001e-05,1.0
50000,8.833638,2.1175647,999.0,-0.24999991059303284,-0.24999991059303284,0.709049,0.029940775,0.00029729874,0.19909959,1.0000001e-05,1.0
60000,8.85483,0.7426345,999.0,3.2285849253336586e-08,3.2285849253336586e-08,0.3524098,0.019783871,0.0002966978,0.19889927,1.0000001e-05,1.0
70000,8.786976,0.05046881,999.0,0.500000175088644,0.500000175088644,0.22406654,0.030183963,0.00029609873,0.1986996,1.0000001e-05,1.0
80000,8.638793,1.2505238,999.0,-0.08333323647578557,-0.08333323647578557,0.18665774,0.020113021,0.0002954978,0.19849926,1.0000001e-05,1.0
90000,8.613522,-1.3269374,999.0,-0.12499993667006493,-0.12499993667006493,0.14785661,0.022320354,0.00029489872,0.1982996,1.0000001e-05,1.0
100000,8.742054,1.7725816,999.0,0.1666667734583219,0.1666667734583219,0.23982555,0.020664366,0.0002942978,0.19809926,1.0000001e-05,1.0
110000,8.683875,1.3365487,999.0,0.3750001974403858,0.3750001974403858,0.30662653,0.026906537,0.00029369871,0.19789958,1.0000001e-05,1.0
120000,8.586615,0.21460791,999.0,0.41666682064533234,0.41666682064533234,0.10047219,0.030402273,0.00029309778,0.19769926,1.0000001e-05,1.0
130000,8.688463,1.3740383,999.0,0.7500002048909664,0.7500002048909664,0.26253095,0.021212505,0.0002924988,0.19749956,1.0000001e-05,1.0
140000,8.750239,-0.2948301,999.0,0.1666667809089025,0.1666667809089025,0.16030158,0.021041198,0.00029189777,0.19729926,1.0000001e-05,1.0
150000,8.299907,1.2673513,999.0,8.940696716308594e-08,8.940696716308594e-08,0.23751467,0.020824308,0.00029129878,0.19709958,1.0000001e-05,1.0
160000,8.631088,-0.63737535,999.0,7.947285970052083e-08,7.947285970052083e-08,0.11082556,0.018951058,0.00029069776,0.19689925,1.0000001e-05,1.0
170000,8.608006,1.2746353,999.0,0.25000015646219254,0.25000015646219254,0.13575181,0.019157471,0.00029009877,0.1966996,1.0000001e-05,1.0
180000,8.279382,-0.26834825,999.0,0.5833335022131602,0.5833335022131602,0.102995254,0.027684553,0.00028949778,0.19649924,1.0000001e-05,1.0
190000,8.515771,0.39788088,999.0,0.5000000819563866,0.5000000819563866,0.07587293,0.01971444,0.0002888988,0.19629957,1.0000001e-05,1.0
200000,8.586837,-0.42438364,999.0,0.5000002235174179,0.5000002235174179,0.14656971,0.026035273,0.00028829777,0.19609927,1.0000001e-05,1.0
210000,8.627791,-0.9684163,999.0,0.7500001788139343,0.7500001788139343,0.14502002,0.025385328,0.0002876988,0.19589956,1.0000001e-05,1.0
220000,8.453148,0.40047768,999.0,0.41666684796412784,0.41666684796412784,0.13372481,0.019360458,0.0002870978,0.19569926,1.0000001e-05,1.0
230000,8.7446375,-0.74130934,999.0,0.8750002458691597,0.8750002458691597,0.08926088,0.025131317,0.00028649878,0.19549958,1.0000001e-05,1.0
240000,8.542629,-0.36980507,999.0,0.6666668429970741,0.6666668429970741,0.08708098,0.024125716,0.00028589778,0.19529925,1.0000001e-05,1.0
250000,8.560555,-0.040605295,999.0,0.12500012293457985,0.12500012293457985,0.075108014,0.015661636,0.00028529877,0.19509959,1.0000001e-05,1.0
260000,8.662163,0.53834605,999.0,0.6666668827335039,0.6666668827335039,0.11956691,0.019906206,0.00028469783,0.19489926,1.0000001e-05,1.0
270000,8.462561,-0.6085122,999.0,0.5000001974403858,0.5000001974403858,0.10318968,0.017596042,0.00028409876,0.19469957,1.0000001e-05,1.0
280000,8.547395,1.3826537,999.0,0.5833335568507513,0.5833335568507513,0.1538965,0.026327424,0.00028349782,0.19449925,1.0000001e-05,1.0
290000,8.552984,-0.31593075,999.0,0.6250002197921276,0.6250002197921276,0.1331153,0.025344865,0.00028289875,0.19429958,1.0000001e-05,1.0
300000,8.597966,-0.6873309,999.0,0.6666668678323427,0.6666668678323427,0.09593278,0.021930961,0.0002822978,0.19409926,1.0000001e-05,1.0
310000,8.367591,-1.0116229,999.0,0.7500002011656761,0.7500002011656761,0.15464611,0.025133887,0.00028169874,0.19389959,1.0000001e-05,1.0
320000,7.933387,-0.88937473,999.0,1.1666668926676114,1.1666668926676114,0.07125414,0.01713123,0.0002810978,0.19369926,1.0000001e-05,1.0
330000,8.235235,-0.04096555,999.0,1.2500002905726433,1.2500002905726433,0.16439794,0.012337353,0.00028049876,0.19349958,1.0000001e-05,1.0
340000,8.467935,-0.08231633,999.0,0.8333336139718691,0.8333336139718691,0.056279045,0.0163824,0.0002798978,0.19329928,1.0000001e-05,1.0
350000,8.563518,-1.2655544,999.0,1.0000002160668373,1.0000002160668373,0.18460499,0.017394228,0.00027929878,0.19309957,1.0000001e-05,1.0
360000,8.255531,-1.2997818,999.0,0.6666669050852457,0.6666669050852457,0.11301706,0.019968608,0.00027869781,0.19289927,1.0000001e-05,1.0
370000,8.324296,-0.91401964,999.0,0.5000001713633537,0.5000001713633537,0.12446771,0.015797263,0.00027809877,0.1926996,1.0000001e-05,1.0
380000,8.203132,0.38771415,999.0,0.2500001514951388,0.2500001514951388,0.077085696,0.025499249,0.0002774978,0.19249927,1.0000001e-05,1.0
390000,8.624835,-0.7647453,999.0,1.2665987014770508e-07,1.2665987014770508e-07,0.14445028,0.026211416,0.00027689876,0.19229959,1.0000001e-05,1.0
400000,8.506805,-0.0034551534,999.0,0.8333335866530737,0.8333335866530737,0.13030411,0.023330634,0.0002762978,0.19209927,1.0000001e-05,1.0
410000,8.347484,-0.58998114,999.0,0.2500002160668373,0.2500002160668373,0.1350994,0.026405891,0.00027569875,0.19189958,1.0000001e-05,1.0
420000,8.410905,0.2335325,999.0,0.5833335146307945,0.5833335146307945,0.073988594,0.017488044,0.0002750978,0.19169927,1.0000001e-05,1.0
430000,8.471229,-0.52737087,999.0,0.7500003278255463,0.7500003278255463,0.06951821,0.018678354,0.00027449874,0.19149959,1.0000001e-05,1.0
