Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,TotalScore,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1410000,0.12606764,1.1786193,0.55290943,0.015247884,0.000215694,0.17189796,0.00072179013,None,None,None,None,1.0
1420000,0.13021016,0.8505387,0.023257526,0.024488103,0.00021508534,0.17169508,0.0007197816,7.392742156982422,999.0,12.250000957399607,12.250000957399607,1.0
1430000,0.12857649,1.138268,0.47711244,0.015866349,0.00021449396,0.17149799,0.0007178301,None,None,None,None,1.0
1440000,0.13395181,0.83404374,0.03407077,0.018676113,0.00021388536,0.1712951,0.00071582163,11.226556777954102,999.0,12.500000678002834,12.500000678002834,1.0
1450000,0.1293046,0.99870807,0.3579886,0.018002352,0.000213294,0.171098,0.0007138701,6.063567161560059,None,None,None,1.0
1460000,0.15691243,0.71265364,0.0106676,0.0146757495,0.00021268535,0.17089511,0.0007118616,None,999.0,7.750000223517418,7.750000223517418,1.0
1470000,0.21366572,1.061935,0.48296705,0.02652748,0.00021209399,0.17069799,0.0007099101,8.894821166992188,None,None,None,1.0
1480000,0.2453286,0.746493,0.024271678,0.023039494,0.00021148687,0.17049561,0.00070790667,0.729011595249176,999.0,11.500001337379217,11.500001337379217,1.0
1490000,0.22495173,1.0713614,0.45475212,0.021737114,0.00021089398,0.17029798,0.00070595014,None,None,None,None,1.0
1500000,0.2543,0.822897,0.035422377,0.022519108,0.00021028535,0.1700951,0.0007039415,1.563220500946045,999.0,11.500001333653927,11.500001333653927,1.0
1510000,0.26336652,1.01241,0.38380715,0.019657247,0.00020969399,0.16989797,0.00070199004,None,None,None,None,1.0
1520000,0.23761572,0.73611534,0.013820179,0.021319099,0.00020908537,0.1696951,0.0006999816,0.39460113644599915,999.0,8.500000976026058,8.500000976026058,1.0
1530000,0.2710758,1.0516202,0.41622806,0.016483864,0.00020849398,0.16949798,0.00069803005,None,None,None,None,1.0
1540000,0.23963834,0.8396296,0.034908537,0.01638638,0.00020788536,0.1692951,0.00069602154,7.228054046630859,999.0,11.250001545995474,11.250001545995474,1.0
1550000,0.30918998,1.2443771,0.44279572,0.015055296,0.000207294,0.16909797,0.0006940702,11.060580253601074,None,None,None,1.0
1560000,0.22778134,0.9134598,0.027939806,0.01771846,0.00020668536,0.1688951,0.00069206156,None,999.0,12.500001164153218,12.500001164153218,1.0
1570000,0.21047886,1.1832377,0.40348184,0.02558173,0.00020609399,0.168698,0.00069011,5.895400524139404,None,None,None,1.0
1580000,0.1765327,0.99740887,0.04953902,0.022444164,0.00020548534,0.1684951,0.0006881015,5.729024410247803,999.0,14.00000211969018,14.00000211969018,1.0
1590000,0.19447595,1.3534989,0.5678049,0.027129715,0.000204894,0.16829796,0.0006861501,None,None,None,None,1.0
1600000,0.17067622,1.1523999,0.038500573,0.015723955,0.00020428534,0.16809508,0.00068414153,12.558704376220703,999.0,15.750001851469278,15.750001851469278,1.0
1610000,0.17340624,1.3287421,0.45307264,0.019880516,0.00020369398,0.16789798,0.00068219006,None,None,None,None,1.0
1620000,0.14914832,1.0193232,0.033784546,0.019895859,0.00020308536,0.1676951,0.00068018155,6.398349285125732,999.0,11.50000163167715,11.50000163167715,1.0
1630000,0.1324679,1.1309955,0.51338774,0.014480021,0.00020249399,0.16749799,0.0006782301,None,None,None,None,1.0
1640000,0.09406156,0.7706315,0.030028868,0.022870092,0.00020188536,0.16729511,0.00067622156,11.225770950317383,999.0,10.500001408159733,10.500001408159733,1.0
1650000,0.12607332,0.98670214,0.36674866,0.018790862,0.00020129398,0.16709799,0.0006742701,4.062575817108154,None,None,None,1.0
1660000,0.13482346,0.77135825,0.031575996,0.017196026,0.00020068535,0.1668951,0.0006722616,None,999.0,9.000000605359674,9.000000605359674,1.0
1670000,0.12752815,1.0499557,0.5084329,0.012284572,0.000200094,0.16669798,0.00067031005,6.895898342132568,None,None,None,1.0
1680000,0.11899882,0.84420043,0.042823885,0.01593878,0.00019948534,0.1664951,0.00066830154,3.728991746902466,999.0,11.750002095475793,11.750002095475793,1.0
1690000,0.15025383,1.155002,0.411461,0.017217593,0.000198894,0.16629797,0.0006663501,None,None,None,None,1.0
1700000,0.1278753,0.77848846,0.01653097,0.017501626,0.00019828536,0.16609511,0.0006643416,7.557913303375244,999.0,9.500001467764378,9.500001467764378,1.0
1710000,0.112092935,1.2531806,0.5791833,0.015112571,0.00019769398,0.16589798,0.0006623901,None,None,None,None,1.0
1720000,0.12866922,0.90660244,0.027388599,0.01610255,0.00019708536,0.16569512,0.0006603816,15.391386032104492,999.0,14.000001426786184,14.000001426786184,1.0
1730000,0.14063382,1.2958319,0.63918453,0.013661508,0.00019649399,0.16549797,0.0006584301,None,None,None,None,1.0
1740000,0.13305616,0.9418924,0.029209232,0.016173402,0.00019588535,0.1652951,0.0006564216,15.226062774658203,999.0,15.000002413988113,15.000002413988113,1.0
1750000,0.11493105,1.0023164,0.23265238,0.02265177,0.00019529398,0.165098,0.00065447,5.063589096069336,None,None,None,1.0
1760000,0.09679046,0.83408153,0.058870185,0.015761185,0.00019468534,0.1648951,0.0006524616,None,999.0,9.500001126900315,9.500001126900315,1.0
1770000,0.11097001,0.92561156,0.25871015,0.012449038,0.00019409401,0.16469796,0.00065051,4.895785808563232,None,None,None,1.0
1780000,0.10219242,0.6919991,0.038661186,0.0182654,0.00019348535,0.1644951,0.00064850156,5.729043483734131,999.0,7.000000787898898,7.000000787898898,1.0
1790000,0.09423434,1.0502545,0.44808373,0.014072798,0.000192894,0.16429798,0.00064655003,None,None,None,None,1.0
1800000,0.09763707,0.94990295,0.079795964,0.023582287,0.00019228537,0.1640951,0.0006445416,12.556617736816406,999.0,12.750001629814506,12.750001629814506,1.0
1810000,0.09676174,1.1713431,0.3818001,0.019778859,0.000191694,0.16389799,0.00064259005,None,None,None,None,1.0
1820000,0.07726061,0.9107542,0.03724558,0.018722529,0.00019108536,0.16369511,0.00064058154,7.392822265625,999.0,10.000000778585672,10.000000778585672,1.0
1830000,0.09060035,1.151999,0.37625945,0.01398204,0.000190494,0.16349798,0.00063863007,None,None,None,None,1.0
1840000,0.107772075,0.9868529,0.049233932,0.02169776,0.00018988537,0.1632951,0.00063662155,10.226408004760742,999.0,12.25000175833702,12.25000175833702,1.0
1850000,0.11554254,1.276561,0.50415003,0.01863969,0.00018929399,0.16309798,0.00063467,12.060144424438477,None,None,None,1.0
1860000,0.10659689,1.0333918,0.047967475,0.012837617,0.00018868534,0.1628951,0.0006326615,None,999.0,13.750000908970833,13.750000908970833,1.0
1870000,0.101152055,1.1518983,0.41576278,0.017840294,0.000188094,0.16269799,0.0006307101,4.895228385925293,None,None,None,1.0
1880000,0.12763874,0.85458505,0.017367229,0.020743627,0.00018748536,0.1624951,0.0006287015,4.729042053222656,999.0,10.000001169741154,10.000001169741154,1.0
1890000,0.14121895,1.0576259,0.34047604,0.013020291,0.00018689397,0.16229798,0.00062675006,None,None,None,None,1.0
1900000,0.11668647,0.9849247,0.06436799,0.020752003,0.00018628535,0.1620951,0.00062474154,11.557796478271484,999.0,12.00000062584877,12.00000062584877,1.0
1910000,0.12411917,1.2851335,0.5150884,0.013504396,0.000185694,0.16189797,0.0006227901,None,None,None,None,1.0
1920000,0.11368446,1.0725732,0.0503323,0.016715294,0.00018508534,0.1616951,0.00062078156,15.390962600708008,999.0,15.00000100582838,15.00000100582838,1.0
1930000,0.09861063,1.3378991,0.40743402,0.012760161,0.000184494,0.161498,0.0006188301,None,None,None,None,1.0
1940000,0.10688737,1.082065,0.04749302,0.02383821,0.00018388535,0.1612951,0.0006168216,18.226648330688477,999.0,12.750001950189471,12.750001950189471,1.0
1950000,0.12109576,1.2345469,0.44318572,0.023835264,0.00018329399,0.16109796,0.0006148701,7.06360387802124,None,None,None,1.0
1960000,0.09417463,0.86354744,0.023604687,0.019171868,0.00018268535,0.1608951,0.0006128616,None,999.0,10.25000162050128,10.25000162050128,1.0
1970000,0.11949652,1.138143,0.39423707,0.017274752,0.000182094,0.16069798,0.00061091007,7.895660400390625,None,None,None,1.0
1980000,0.112507895,0.95977604,0.0610906,0.016804788,0.00018148536,0.1604951,0.0006089016,2.7290091514587402,999.0,11.250000644475222,11.250000644475222,1.0
1990000,0.116829306,1.1989281,0.402549,0.012633871,0.00018089399,0.16029797,0.0006069501,None,None,None,None,1.0
2000000,0.11240178,0.9405577,0.02628747,0.01761144,0.00018028535,0.1600951,0.00060494157,11.557125091552734,999.0,10.750001270323992,10.750001270323992,1.0
2010000,0.13910103,1.2524225,0.48014525,0.017994674,0.00017969402,0.15989798,0.0006029901,None,None,None,None,1.0
2020000,0.121291816,0.96440274,0.04065274,0.02354683,0.00017908536,0.1596951,0.0006009816,7.3929362297058105,999.0,13.000001767650247,13.000001767650247,1.0
2030000,0.102576,1.083357,0.2855202,0.017674617,0.00017849398,0.15949798,0.00059903,None,None,None,None,1.0
2040000,0.1119945,0.86756,0.031758856,0.02367628,0.00017788538,0.1592951,0.0005970216,6.231271266937256,999.0,8.500000758096576,8.500000758096576,1.0
