Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,9.509143,-0.6631308,998.625,-0.24962492287158966,-0.24962492287158966,0.76719475,0.019486994,0.00029969873,0.1998996,1.0000001e-05,1.0
20000,9.533663,0.4586155,999.0,-0.3333333233992259,-0.3333333233992259,0.07167024,0.018921172,0.00029909782,0.19969927,1.0000001e-05,1.0
30000,9.541549,-0.83275235,999.0,0.3750002570450306,0.3750002570450306,0.039501615,0.01861536,0.00029849872,0.19949959,1.0000001e-05,1.0
40000,9.489828,-0.3133463,999.0,1.142422358194987e-07,1.142422358194987e-07,0.081844464,0.022983959,0.00029789782,0.19929928,1.0000001e-05,1.0
50000,9.455613,-0.4573399,999.0,1.5273690223693848e-07,1.5273690223693848e-07,0.07854334,0.021311505,0.00029729874,0.19909959,1.0000001e-05,1.0
60000,9.4149065,-0.69779986,999.0,1.2665987014770508e-07,1.2665987014770508e-07,0.08535308,0.028681343,0.0002966978,0.19889927,1.0000001e-05,1.0
70000,9.501431,0.19203734,999.0,-0.12499989941716194,-0.12499989941716194,0.07429784,0.022165967,0.00029609873,0.1986996,1.0000001e-05,1.0
80000,9.498358,-0.10952728,999.0,0.416666845480601,0.416666845480601,0.04463038,0.023240587,0.0002954978,0.19849926,1.0000001e-05,1.0
90000,9.472358,-0.5662533,999.0,-0.12499990686774254,-0.12499990686774254,0.04122792,0.028823482,0.00029489872,0.1982996,1.0000001e-05,1.0
100000,9.443665,0.45708185,999.0,1.3162692387898764e-07,1.3162692387898764e-07,0.057632763,0.020214051,0.0002942978,0.19809926,1.0000001e-05,1.0
110000,9.447461,-0.4050543,999.0,1.1250002570450306,1.1250002570450306,0.0761425,0.020052275,0.00029369871,0.19789958,1.0000001e-05,1.0
120000,9.437388,-0.42793697,999.0,-0.2499999205271403,-0.2499999205271403,0.05258708,0.025535757,0.00029309778,0.19769926,1.0000001e-05,1.0
130000,9.474587,0.6795536,999.0,0.6250002458691597,0.6250002458691597,0.19756562,0.018230809,0.0002924988,0.19749956,1.0000001e-05,1.0
140000,9.478896,-0.26179242,999.0,0.08333348482847214,0.08333348482847214,0.042147357,0.023096763,0.00029189777,0.19729926,1.0000001e-05,1.0
150000,9.430878,0.075160965,999.0,0.5000002086162567,0.5000002086162567,0.05191515,0.021366147,0.00029129878,0.19709958,1.0000001e-05,1.0
160000,9.36105,-0.27989668,999.0,0.16666681071122488,0.16666681071122488,0.054634158,0.019269375,0.00029069776,0.19689925,1.0000001e-05,1.0
170000,9.399129,-1.0888387,999.0,-0.24999994412064552,-0.24999994412064552,0.124951564,0.018570175,0.00029009877,0.1966996,1.0000001e-05,1.0
180000,9.397259,0.4385167,999.0,0.41666677097479504,0.41666677097479504,0.03995735,0.021075211,0.00028949778,0.19649924,1.0000001e-05,1.0
190000,9.273234,-0.6738509,999.0,-0.12499989569187164,-0.12499989569187164,0.029627556,0.025777943,0.0002888988,0.19629957,1.0000001e-05,1.0
200000,9.410978,-0.22774252,999.0,0.08333344012498856,0.08333344012498856,0.035392385,0.020672504,0.00028829777,0.19609927,1.0000001e-05,1.0
210000,9.444044,-1.0978779,999.0,1.7500004582107067,1.7500004582107067,0.18170214,0.01826152,0.0002876988,0.19589956,1.0000001e-05,1.0
220000,9.241286,0.33468765,999.0,-0.08333318680524826,-0.08333318680524826,0.033524096,0.018723717,0.0002870978,0.19569926,1.0000001e-05,1.0
230000,9.280771,0.28979665,999.0,0.3750001788139343,0.3750001788139343,0.035895526,0.019067753,0.00028649878,0.19549958,1.0000001e-05,1.0
240000,9.343916,0.06593417,999.0,0.5000002110997835,0.5000002110997835,0.028153604,0.021862173,0.00028589778,0.19529925,1.0000001e-05,1.0
250000,9.296271,-0.0063022696,999.0,-0.12499991431832314,-0.12499991431832314,0.032222573,0.008966106,0.00028529877,0.19509959,1.0000001e-05,1.0
260000,9.382413,0.6912408,999.0,1.465280850728353e-07,1.465280850728353e-07,0.03540521,0.026544275,0.00028469783,0.19489926,1.0000001e-05,1.0
270000,9.23155,0.43496597,999.0,0.3750002197921276,0.3750002197921276,0.027286014,0.019529471,0.00028409876,0.19469957,1.0000001e-05,1.0
